,Title,Genre,Director,Actors,Plot,id,release year
79,Return to the Blue Lagoon,"Adventure,Drama",William A. Graham,"Milla Jovovich,Brian Krause,Lisa Pelikan,Courtney Barilla","In this sequel to the 1980 classic, two children are stranded on a beautiful island in the South Pacific. With no adults to guide them, the two make a simple life together and eventually become tanned teenagers in love.",13888,1991-08-02
80,Night on Earth,"Comedy,Drama",Jim Jarmusch,"Winona Ryder,Gena Rowlands,Lisanne Falk,Alan Randolph Scott",An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.,339,1991-12-12
81,Paprika,Drama,Tinto Brass,"Debora Caprioglio,Stéphane Ferrara,Martine Brochard,Stéphane Bonnet","A young country girl comes to town and works in a brothel in order to help her fiance get the money to start his own business. ""Paprika"" is the name given to her by the madam.",50270,1991-02-13
82,Freddy's Dead: The Final Nightmare,"Horror,Thriller,Comedy",Rachel Talalay,"Robert Englund,Lisa Zane,Shon Greenblatt,Lezlie Deane","Just when you thought it was safe to sleep, Freddy Krueger returns in this sixth installment of the Nightmare on Elm Street films, as psychologist Maggie Burroughs, tormented by recurring nightmares, meets a patient with the same horrific dreams. Their quest for answers leads to a certain house on Elm Street -- where the nightmares become reality.",11284,1991-09-05
83,Curly Sue,"Comedy,Drama,Family,Romance",John Hughes,"James Belushi,Alisan Porter,Kelly Lynch,John Getz","Bill Dancer and his young companion Curly Sue are the classic homeless folks with hearts of gold. Their scams are aimed not at turning a profit, but at getting enough to eat. When they scam the rich and beautiful Grey Ellison into believing she backed her Mercedes into Bill, they're only hoping for a free meal. But Grey is touched, and over the objections of her snotty fiancé.",11894,1991-10-24
84,City Slickers,Comedy,Ron Underwood,"Billy Crystal,Daniel Stern,Bruno Kirby,Jack Palance","New York meets the west in this comedy starring Billy Crystal. Three New York businessmen decide to take a ""Wild West"" vacation that turns out not to be the relaxing vacation they had envisioned.",1406,1991-06-07
85,Child's Play 3,"Thriller,Horror,Action",Jack Bender,"Justin Whalin,Perrey Reeves,Jeremy Sylvers,Travis Fine","Eight years have passed since the events of the second film. Chucky has been resurrected once again and seeks revenge on Andy, his former owner, who is now a teenager enrolled in military school.",11187,1991-08-30
86,Naked Lunch,"Crime,Drama",David Cronenberg,"Peter Weller,Judy Davis,Ian Holm,Julian Sands","Blank-faced bug killer Bill Lee and his dead-eyed wife, Joan, like to get high on Bill's pest poisons while lounging with Beat poet pals. After meeting the devilish Dr. Benway, Bill gets a drug made from a centipede. Upon indulging, he accidentally kills Joan, takes orders from his typewriter-turned-cockroach, ends up in a constantly mutating Mediterranean city and learns that his hip friends have published his work -- which he doesn't remember writing.",2742,1991-12-27
87,Barton Fink,"Comedy,Drama",Joel Coen,"John Turturro,John Goodman,Judy Davis,Michael Lerner",A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.,290,1991-08-01
88,Hudson Hawk,"Action,Adventure,Comedy",Michael Lehmann,"Bruce Willis,Danny Aiello,Andie MacDowell,James Coburn","Eddie Hawkins, called Hudson Hawk has just been released from ten years of prison and is planning to spend the rest of his life honestly. But then the crazy Mayflower couple blackmail him to steal some of the works of Leonardo da Vinci. If he refuses, they threaten to kill his friend Tommy.",9292,1991-05-23
89,Hot Shots!,"Action,Comedy,War",Jim Abrahams,"Charlie Sheen,Cary Elwes,Valeria Golino,Lloyd Bridges","Recruited to join a top-secret mission for the Air Force, a renegade pilot finds himself coping with an incompetent admiral and a carefully selected squadron of flyers who are either inept or half-blind.",9595,1991-07-31
90,Boyz n the Hood,"Crime,Drama",John Singleton,"Laurence Fishburne,Cuba Gooding Jr.,Ice Cube,Morris Chestnut",Boyz n the Hood is the popular and successful film and social criticism from John Singleton about the conditions in South Central Los Angeles where teenagers are involved in gun fights and drug dealing on a daily basis.,650,1991-07-12
91,What About Bob?,Comedy,Frank Oz,"Bill Murray,Richard Dreyfuss,Julie Hagerty,Charlie Korsmo","Before going on vacation, self-involved psychiatrist Dr. Leo Marvin has the misfortune of taking on a new patient: Bob Wiley. An exemplar of neediness and a compendium of phobias, Bob follows Marvin to his family's country house. Dr. Marvin tries to get him to leave; the trouble is, everyone loves Bob. As his oblivious patient makes himself at home, Dr. Marvin loses his professional composure and, before long, may be ready for the loony bin himself.",10276,1991-05-17
92,The Fisher King,"Comedy,Drama",Terry Gilliam,"Jeff Bridges,Robin Williams,Mercedes Ruehl,Amanda Plummer",Two troubled men face their terrible destinies and events of their past as they join together on a mission to find the Holy Grail and thus to save themselves.,177,1991-09-09
93,Dragon Ball Z: Cooler's Revenge,"Action,Animation,Adventure",Mitsuo Hashimoto,"Masako Nozawa,Ryusei Nakao,Toshio Furukawa,Hiromi Tsuru","After defeating Frieza, Goku returns to Earth and goes on a camping trip with Gohan and Krillin. Everything is normal until Cooler - Frieza's brother - sends three henchmen after Goku. A long fight ensues between our heroes and Cooler, in which he transforms into the fourth stage of his evolution and has the edge in the fight... until Goku transforms into a Super Saiyan.",24752,1991-07-20
94,Star Trek VI: The Undiscovered Country,"Science Fiction,Action,Adventure,Thriller",Nicholas Meyer,"William Shatner,Leonard Nimoy,DeForest Kelley,Kim Cattrall","On the eve of retirement, Kirk and McCoy are charged with assassinating the Klingon High Chancellor and imprisoned. The Enterprise crew must help them escape to thwart a conspiracy aimed at sabotaging the last best hope for peace.",174,1991-12-05
95,The Rocketeer,"Action,Adventure,Science Fiction,Family",Joe Johnston,"Billy Campbell,Jennifer Connelly,Alan Arkin,Timothy Dalton","Young pilot Cliff Secord stumbles on a top secret rocket-pack and with the help of his mechanic/mentor, he attempts to save his girl and stop the Nazis as 'The Rocketeer'.",10249,1991-06-21
96,Don't Tell Mom the Babysitter's Dead,"Comedy,Family",Stephen Herek,"Christina Applegate,Joanna Cassidy,Josh Charles,Keith Coogan","Sue Ellen Crandell is a teenager eagerly awaiting her mother's summer-long absence. While the babysitter looks after her rambunctious younger siblings, Sue Ellen can party and have fun. But then the babysitter abruptly dies, leaving the Crandells short on cash. Sue Ellen finds a sweet job in fashion by lying about her age and experience on her résumé. But, while her siblings run wild, she discovers the downside of adulthood",15413,1991-06-07
97,Once Upon a Time in China,"Action,Drama",Tsui Hark,"Jet Li,Yuen Biao,Jacky Cheung,Rosamund Kwan","Set in late 19th century Canton this martial arts film depicts the stance taken by the legendary martial arts hero Wong Fei-Hung (1847-1924) against foreign forces' (English, French and American) plundering of China.",10617,1991-08-15
98,My Girl,"Comedy,Drama",Howard Zieff,"Anna Chlumsky,Macaulay Culkin,Dan Aykroyd,Jamie Lee Curtis","Vada Sultenfuss is obsessed with death. Her mother is dead, and her father runs a funeral parlor. She is also in love with her English teacher, and joins a poetry class over the summer just to impress him. Thomas J., her best friend, is ""allergic to everything"", and sticks with Vada despite her hangups. When Vada's father hires Shelly, and begins to fall for her, things take a turn to the worse...",4032,1991-11-27
99,Critters 3,"Comedy,Horror,Science Fiction",Kristine Peterson,"Don Keith Opper,Terrence Mann,Leonardo DiCaprio,Frances Bay","In what appears to be a cross between Critters and The Towering Inferno, the residents of a shoddy L.A. apartment block are chased up to the roof by hoards of the eponymous hairy horrors.",12702,1991-12-11
100,Father of the Bride,"Comedy,Romance",Charles Shyer,"Steve Martin,Diane Keaton,Kimberly Williams-Paisley,Kieran Culkin","George Banks is an ordinary, middle-class man whose 21 year-old daughter Annie has decided to marry a man from an upper-class family, but George can't think of what life would be like without his daughter. He becomes slightly insane, but his wife tries to make him happy for Annie, but when the wedding takes place at their home and a foreign wedding planner takes over the ceremony.",11846,1991-12-20
101,Bugsy,"Crime,Drama,Mystery",Barry Levinson,"Warren Beatty,Annette Bening,Harvey Keitel,Ben Kingsley","New York gangster Ben 'Bugsy' Siegel takes a brief business trip to Los Angeles. A sharp-dressing womanizer with a foul temper, Siegel doesn't hesitate to kill or maim anyone crossing him. In L.A. the life, the movies, and most of all strong-willed Virginia Hill detain him while his family wait back home. Then a trip to a run-down gambling joint at a spot in the desert known as Las Vegas gives him his big idea.",10337,1991-12-10
102,Fried Green Tomatoes,"Drama,Comedy",Jon Avnet,"Kathy Bates,Mary-Louise Parker,Jessica Tandy,Cicely Tyson","Amidst her own personality crisis, southern housewife Evelyn Couch meets Ninny, an outgoing old woman who tells her the story of Idgie Threadgoode and Ruth Jamison, two young women who experienced hardships and love in Whistle Stop, Alabama in the 1920s.",1633,1991-12-27
103,White Fang,"Action,Adventure,Drama,Family",Randal Kleiser,"Klaus Maria Brandauer,Ethan Hawke,Seymour Cassel,Susan Hogan",Jack London's classic adventure story about the friendship developed between a Yukon gold hunter and the mixed dog-wolf he rescues from the hands of a man who mistreats him.,12227,1991-01-18
104,Dragon Ball Z: Lord Slug,"Action,Animation,Adventure",Mitsuo Hashimoto,"Toshio Furukawa,Kenji Utsumi,Masako Nozawa,Mayumi Tanaka",A Super Namekian named Slug comes to invade Earth. But the Z Warriors do their best to stop Slug and his gang.,39102,1991-03-19
105,Harley Davidson and the Marlboro Man,"Action,Thriller",Simon Wincer,"Mickey Rourke,Don Johnson,Chelsea Field,Daniel Baldwin","It's the lawless future, and renegade biker Harley Davidson and his surly cowboy buddy, Marlboro, learn that a corrupt bank is about to foreclose on their friend's bar to further an expanding empire. Harley and Marlboro decide to help by robbing the crooked bank. But when they accidentally filch a drug shipment, they find themselves on the run from criminal financiers and the mob in this rugged action adventure.",2453,1991-08-23
106,Not Without My Daughter,"Drama,Thriller",Brian Gilbert,"Sally Field,Alfred Molina,Sheila Rosenthal,Roshan Seth","An American woman, trapped in Islamic Iran by her brutish husband, must find a way to escape with her daughter as well.",9585,1991-01-11
107,Oscar,Comedy,John Landis,"Sylvester Stallone,Ornella Muti,Don Ameche,Peter Riegert","Angelo ""Snaps"" Provolone made his dying father a promise on his deathbed: he would leave the world of crime and become an honest businessman. Despite having no experience in making money in a legal fashion, Snaps sets about to keep his promise.",11890,1991-04-26
108,Doc Hollywood,"Comedy,Romance",Michael Caton-Jones,"Michael J. Fox,Julie Warner,Barnard Hughes,Woody Harrelson","After leaving Washington D.C. hospital, plastic surgeon Ben Stone heads for California, where a lucrative practice in Beverly Hills awaits. After a car accident, he's sentenced to perform as the community's general practitioner.",11821,1991-08-02
